input_artist_name,matched_name,mbid,musicbrainz_country,type,disambiguation,match_status,source_origin_country,source_birth_place,source_current_residence,source_wikidata_id,source_wiki_url,usable_for_network,triage_reason,promotion_source,promotion_reason
Eduard Romanyuta,Eduard Romanyuta,fbac4156-907e-4e6a-8a1b-62c1576504cd,UA,Person,Ukranian singer-songwriter,auto_accept,Ukraine,Ternopil,Ukraine,Q4397461,https://en.wikipedia.org/wiki/Eduard_Romanyuta,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Max Barskih,MAX BARSKIH,b55854ad-d778-49ce-af7f-74625c8ef308,UA,Person,,auto_accept,Ukraine,Kherson,Russia,Q41272,https://en.wikipedia.org/wiki/Max_Barskih,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Alina Pash,Alina Pash,95593341-529e-40e3-ad57-4622f2aacdf8,UA,Person,Ukrainian pop/dance artist,auto_accept,Ukraine,Bushtyno,Ukraine,Q55108431,https://en.wikipedia.org/wiki/Alina_Pash,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ciprian Porumbescu,Ciprian Porumbescu,35fe373d-b814-4111-b9d2-46f54682c7f7,RO,Person,Romanian composer,auto_accept,Ukraine,Shepit,Austrian Empire,Q389000,https://en.wikipedia.org/wiki/Ciprian_Porumbescu,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Eugene Hütz,Eugene Hütz,09c7432f-ad91-4203-9568-614242578091,,Person,,auto_accept,Ukraine,Boyarka,Ukraine,Q535444,https://en.wikipedia.org/wiki/Eugene_H%C3%BCtz,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Taras Kompanichenko,Taras Kompanichenko,f3668727-893e-4291-b3dd-c01bcffecb63,,,,auto_accept,Ukraine,Kyiv,Ukraine,Q7685533,https://en.wikipedia.org/wiki/Taras_Kompanichenko,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Igor Markevitch,Igor Markevitch,92131d53-a4a7-4513-a879-c067643f0747,UA,Person,conductor,auto_accept,Ukraine,Kyiv,Moscow,Q503355,https://en.wikipedia.org/wiki/Igor_Markevitch,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Anastasiya Petryk,Anastasiya Petryk,a68b3c76-63bc-40d5-9e28-00bb37bf6883,,Person,,auto_accept,Ukraine,Odesa,Ukraine,Q277168,https://en.wikipedia.org/wiki/Anastasiya_Petryk,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Heinrich Schenker,Heinrich Schenker,dd36c41f-5c82-4c82-9a33-367892cf7771,AT,Person,,auto_accept,Ukraine,Vyshnivchyk,Austria,Q531995,https://en.wikipedia.org/wiki/Heinrich_Schenker,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Emanuel Feuermann,Emanuel Feuermann,9dae71a5-ff73-4450-b623-b5aa7d0982d9,UA,Person,cellist,auto_accept,Ukraine,Kolomyia,Austria,Q112171,https://en.wikipedia.org/wiki/Emanuel_Feuermann,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Roman Vlad,Roman Vlad,076682b0-e1bf-43eb-9bad-79f831712e5e,RO,Person,,auto_accept,Ukraine,Chernivtsi,Rome,Q2343525,https://en.wikipedia.org/wiki/Roman_Vlad,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Ana Layevska,Ana Layevska,6511828b-4c2c-4f44-8dea-bf13d1662dce,,,,auto_accept,Ukraine,Kyiv,Kyiv,Q698094,https://en.wikipedia.org/wiki/Ana_Layevska,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Dmitry Gordon,Dmitry Gordon,8654cbba-c7eb-4d6e-8526-63d176147223,,Person,,auto_accept,Ukraine,Kyiv,Ukraine,Q4143897,https://en.wikipedia.org/wiki/Dmitry_Gordon,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Franz Doppler,Franz Doppler,0c442d6b-fb3b-4428-ac80-3acdb27a7b92,AT,Person,,auto_accept,Ukraine,Lviv,Austria–Hungary,Q711460,https://en.wikipedia.org/wiki/Franz_Doppler,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Estás Tonné,Estas Tonne,70b2bb3e-873e-4e32-bbc7-a401b4c88d48,UA,Person,guitarist,auto_accept,Ukraine,Zaporizhzhia,Zaporizhzhia,Q17254154,https://en.wikipedia.org/wiki/Estas_Tonne,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Joseph Schmidt,Joseph Schmidt,0764f317-5b19-4c96-b7ce-2fb408eb3c2a,AT,Person,Austro-Hungarian and Romanian tenor and actor.,auto_accept,Ukraine,Davydivka,Berlin,Q94513,https://en.wikipedia.org/wiki/Joseph_Schmidt,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
Emanuel Ax,Emanuel Ax,14aa864b-5878-40d5-b061-28c1bf995853,US,Person,pianist,auto_accept,Ukraine,Lviv,Poland,Q505563,https://en.wikipedia.org/wiki/Emanuel_Ax,True,Included: original match was auto_accept.,original_usable,Original high-confidence usable match
