input_artist_name,input_song_title,seed_artist_mbid,recording_title,recording_mbid,first_date,year,credited_artist_names,credited_artist_mbids,musicbrainz_score,lookup_strategy_used,lookup_status,country,period,source_artist_match_name,source_song_year
Oxxxymiron,Песенка Гремлина (Gremlin’s Song),fb2a8279-79cf-4849-b692-1ce674709159,Песенка гремлина,a8dfb972-b2ad-43c7-b48c-b551134acf2c,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2012
Oxxxymiron,До зимы (Until Winter),fb2a8279-79cf-4849-b692-1ce674709159,До зимы,026b2b2b-c74f-474c-a437-653c632400ff,2013-10-18,2013,Oxxxymiron,fb2a8279-79cf-4849-b692-1ce674709159,100,clean_artist_title,matched,Russia,pre,Oxxxymiron,2013
Saint Levant,I Guess,015c8b7d-015b-4603-9792-18bb440178ac,I Guess,450964db-2fbd-42d8-927b-4ac9d50ad807,2022-12-11,2022,Saint Levant | Playyard,015c8b7d-015b-4603-9792-18bb440178ac | 40b8dcf2-fdec-4563-8954-cdc7ee7f1ace,100,exact_artist_title,matched,Palestine,pre,Saint Levant,2022
Saint Levant,Very Few Friends,015c8b7d-015b-4603-9792-18bb440178ac,Very Few Friends,2485ddde-db95-47f3-b433-123e120c9e8a,2023-03-06,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,pre,Saint Levant,2022
Saint Levant,Between the Lines,015c8b7d-015b-4603-9792-18bb440178ac,Between the Lines,be54c04d-c40f-4640-87fd-da5105990f69,2023-03-06,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post,Saint Levant,2023
Saint Levant,FaceTime,015c8b7d-015b-4603-9792-18bb440178ac,FaceTime,a3946ecf-346b-427b-be02-0ab1ab0f7899,2023-02-14,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post,Saint Levant,2023
Saint Levant,"From Gaza, With Love",015c8b7d-015b-4603-9792-18bb440178ac,"From Gaza, With Love",0c19488a-a13c-4929-ba72-4fe1ee35a1a6,2023-03-06,2023,Saint Levant,015c8b7d-015b-4603-9792-18bb440178ac,100,exact_artist_title,matched,Palestine,post,Saint Levant,2023
Subliminal,Banu Hoshech Legaresh - באנו חושך לגרש,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre,Subliminal,2001
Subliminal,Beit Hasefer Hayashan - בית הספר הישן,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre,Subliminal,2001
Subliminal,Ha’adrichalim - האדריכלים,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre,Subliminal,2001
Subliminal,Hai Meyom Leyom - חי מיום ליום,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre,Subliminal,2001
Subliminal,Me T.A Le L.A - מת”א לל”א,1af836b3-2e0f-4dc2-8a19-9fca99b5c3bb,,,,,,,,none,no_match,Israel,pre,Subliminal,2001
Yasmin Levy,Adio Kerida,856e486f-21f3-4203-a5d2-e30993988b38,Adio Kerida,df77cfe6-6e8e-4f9d-935e-1067c4e6ecf0,2009,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre,Yasmin Levy,2007
Yasmin Levy,Irme Kero,856e486f-21f3-4203-a5d2-e30993988b38,Irme kero,83db0c73-c3ba-454b-80ec-2725b54e14f5,2007-11,2007,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre,Yasmin Levy,2007
Yasmin Levy,Odecha,856e486f-21f3-4203-a5d2-e30993988b38,Odecha,1c47169d-0993-4a28-bae3-d24c5253e25d,2007-11,2007,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre,Yasmin Levy,2007
Yasmin Levy,El amor contigo,856e486f-21f3-4203-a5d2-e30993988b38,El amor contigo,4a858e7c-ec02-475a-be9d-0e21ffc4328c,2009-10-05,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre,Yasmin Levy,2009
Yasmin Levy,Hallelujah,856e486f-21f3-4203-a5d2-e30993988b38,Hallelujah,4f93a033-abf5-4feb-b818-c7ceae134fd3,2009-10-05,2009,Yasmin Levy,856e486f-21f3-4203-a5d2-e30993988b38,100,exact_artist_title,matched,Israel,pre,Yasmin Levy,2009
Lena Chamamyan,Bali Ma’ak - بالي معاك,6bba0cc9-74c4-4a83-8171-a225726e9644,,,,,,,,none,no_match,Syria,pre,Lena Chamamyan,2006
Lena Chamamyan,Hal Asmar El-Lon - هالأسمر اللون,6bba0cc9-74c4-4a83-8171-a225726e9644,,,,,,,,none,no_match,Syria,pre,Lena Chamamyan,2006
Lena Chamamyan,Lama Bada Yatathana - لما بدا يتثنى,6bba0cc9-74c4-4a83-8171-a225726e9644,,,,,,,,none,no_match,Syria,pre,Lena Chamamyan,2006
Lena Chamamyan,Ya Msafera - يا مسافرة,6bba0cc9-74c4-4a83-8171-a225726e9644,,,,,,,,none,no_match,Syria,pre,Lena Chamamyan,2007
Lena Chamamyan,Hane’sh W Nshoof - هنعيش ونشوف,6bba0cc9-74c4-4a83-8171-a225726e9644,,,,,,,,none,no_match,Syria,post,Lena Chamamyan,2020
Bashar Murad,Maskhara (مسخرة),5a289a16-e872-4058-ba3d-4e108e46ff5c,Maskhara,8860a419-d4ec-4325-aadd-32327c07655f,2021-06-11,2021,Bashar Murad,5a289a16-e872-4058-ba3d-4e108e46ff5c,100,clean_artist_title,matched,Palestine,pre,Bashar Murad,2020
Bashar Murad,Stone,5a289a16-e872-4058-ba3d-4e108e46ff5c,Stone,db3707d3-05c1-4e47-8703-22fd231b65be,2024-05-10,2024,Bashar Murad | Sabreen,5a289a16-e872-4058-ba3d-4e108e46ff5c | bdadce04-f83c-4b53-8179-9b0d2a3f33f7,100,exact_artist_title,matched,Palestine,post,Bashar Murad,2024
Bashar Murad,Vestrið villt,5a289a16-e872-4058-ba3d-4e108e46ff5c,Vestrið villt,aed82e48-63d5-4d40-98c4-425ba936d301,2024-01-28,2024,Bashar Murad,5a289a16-e872-4058-ba3d-4e108e46ff5c,100,exact_artist_title,matched,Palestine,post,Bashar Murad,2024
Bashar Murad,Wild West,5a289a16-e872-4058-ba3d-4e108e46ff5c,Wild West,8ace2cb8-2bad-4ccd-8852-12c08104a7e9,2024-01-28,2024,Bashar Murad,5a289a16-e872-4058-ba3d-4e108e46ff5c,100,exact_artist_title,matched,Palestine,post,Bashar Murad,2024
