artist,country,song_title,lyrics,compound,positive,negative,neutral
Skofka,Ukraine,Чути гімн (Hear the Anthem),"[Текст пісні «Чути гімн»]

[Приспів]
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн

[Куплет 1]
За нами правда, значить вистоїм ми ваші вистріли
За нами правда, а її ніяк не пристрелить
За нами правда, значить визволим село ми за селом
За нами правда, значить ми з долин повиганяєм зло

[Куплет 2]
Ну, а поки будем бить вас за «Азов» і Бучу
За Дні-, за Дніпро і кручі
За Ірпінь, який ти мучив
За ла-, за лани квітучі
За Херсон — землю родючу
За До-, за Донбас получиш
За Чернігів — неминуче
За лі-, за ліси дрімучі
За Хмельницького Богдана
За Фра-, за Франка Івана
І за Суми, і за храми
ЗСУ прийде за вами
І за ночі, і за ранки
За кожен тривожний ранок
За Харків і «тюльпани»
За О-, за Одесу-маму
За Рівне і Здолбунів, за Полтаву, Львів і пулі
За Київ, Луцьк, за Вінницю, за Миколаїв — дулі
За Чернівці, Черкаси, Тернопіль і Кривий Ріг
За Запоріжжя, і Житомир, і за Крим забуться — гріх

[Приспів]
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн
В небі чистому чути грім
В небі свист, але чути гімн
В небі чистому мутний дим
Горить ліс, але чути гімн",0.0,0.0,0.0,1.0
Skofka,Ukraine,Батьківщина (Homeland),"[Текст пісні «Батьківщина»]

[Приспів]
Скільки не стріляй в наш край
Скільки не пали поля
Житиме вічно наша ненька
Вродить ще не раз земля
Скільки не стріляй в наш край
Скільки не пали поля
Житиме вічно наша ненька
Вродить ще не раз земля

[Куплет 1: Skofka]
Наша Батьківщина б'ється гордо
Ми не в пах, а в морду
Наша Батьківщина за свободу
Перегризе горло
Наша Батьківщина тільки наша
Не віддам нізащо
Наша Батьківщина б'ється завше
Збережи її, Отче Наший
Ненька наша рідна, ти потерпи ще чуть-чуть
Наші січові стрільці добре ворога січуть
Око за око, наші хлопці точно пики натовчуть
Збройні сили України не дадуть задуть свічу

[Приспів]
Скільки не стріляй в наш край
Скільки не пали поля
Житиме вічно наша ненька
Вродить ще не раз земля
Скільки не стріляй в наш край
Скільки не пали поля
Житиме вічно наша ненька
Вродить ще не раз земля

[Пост-Приспів: Kalush]
Кулі-дебіли полетіли
Бо не мали права вони на слова
Воля це дівчина, що любить дім
Тільки руским би не дала
Кулі-дебіли полетіли
Бо не мали права вони на слова
Воля — це дівчина, шо любить дім
Тільки руским би не дала

[Куплет 2: Kalush]
Звідти, де волі люд не мали
Звідти ті тихі голоса
Звідки чорнила виливали
Явно що там нечистота
Скільки вже наша пережила
Ненька така ще молода
Жовте осіннє плаття зняла
А камуфляж не ти вбрала
А на дев'ятий поверх упало не сонце
Дивлюся на двір через нове віконце
Ангел тут живе мій лише охоронцем
А на дев'ятий поверх упало не сонце

[Приспів]
Скільки не стріляй в наш край
Скільки не пали поля
Житиме вічно наша ненька
Вродить ще не раз земля
Скільки не стріляй в наш край
Скільки не пали поля
Житиме вічно наша ненька
Вродить ще не раз земля

[Аутро: Skofka]
Око за око, зуб за зуб
Загризуть тут за тризуб
Око за око, зуб за зуб
Наші тихо підповзуть",0.0,0.0,0.0,1.0
Skofka,Ukraine,КРУЗАК (KRUZAK),"[Куплет 1]
Пацан не пропаде, він знає в любій сраці вихід є
Якщо собака хоче бабу - прогризе любий вольєр
Пацику було б де спать по барабану інтер'єр
Хостел то чи комната добре wi-fi на шару є!
За милю халяву почує, грамотно сяде на хвіст
Часом пацанчик, як вовк, часом він, як хитрий лис
А знаєш хто то під вікном вночі навалив музики?
Пацики, пацики, пацики, пацики, пацики!

[Приспів]
Тарабанить музика в чорному крузаку
Не наламуй кайфа, бо роздам як wi-fi!
Пацики на АЗК заїхали на перекур
Не наламуй кайфа, бо роздам як wi-fi!
Тарабанить музика в чорному крузаку
Не наламуй кайфа, бо роздам як wi-fi!
Пацики на АЗК заїхали на перекур
Не наламуй кайфа, бо роздам як wi-fi!

[Куплет 2]
Но пацик говорить по суті! Коротко про головне
Жига буксує, бо слизько? Буде йти - пацик пихне
Сальтуху замутить красиву, з мостика - щучкой пірне
Справжній пацан через силу, но як позичив - верне
Бо пацану по чеснаку все ділиться на чувачі
Чува-чувачі, чувачі, чува-чувачі
А знаєш хто то під вікном вночі навалив музики?
Пацики, пацики, пацики, пацики, пацики!

[Приспів]
Тарабанить музика в чорному крузаку
Не наламуй кайфа, бо роздам як wi-fi!
Пацики на АЗК заїхали на перекур
Не наламуй кайфа, бо роздам як wi-fi!
Тарабанить музика в чорному крузаку
Не наламуй кайфа, бо роздам як wi-fi!
Пацики на АЗК заїхали на перекур
Не наламуй кайфа, бо роздам як wi-fi!

[Аутро]
Туц тиц hands up, двіж горить як бенза!
Туц тиц hands up! Туц тиц hands up!
Туц тиц hands up, двіж горить як бенза!
Туц тиц hands up! Туц тиц hands up!
Туц тиц hands up! Туц тиц hands up!
Туц тиц hands up! Туц тиц hands up!",0.0,0.0,0.0,1.0
Khrystyna Soloviy,Ukraine,Тримай (Trimai),"[Текст пісні «Тримай»]

[Куплет 1]
Як тобі сказати, без тебе не можу спати
І місяць по кімнаті розкинув сатин
Очі тобі зав'яжу і серце своє покажу
Тобі про все розкажу з настінних картин

[Приспiв]
Тримай мене міцно одною рукою, -
Так сильно і ніжно вбивай мене!
Віддай мені муку своїми руками
Моїми губами лікуй, лікуй себе

[Куплет 2]
Посеред моєї хати, на мене будеш кричати
Бо як же тобі порвати, - і в серці сліди
Чи чуєш, як страшно мені у полоні;
Як в твоїх долонях, - нема так ніде!
І крила так важко розправити пташці
Коли бідолашку погубить любов

[Приспiв]
Тримай мене міцно одною рукою
Так сильно і ніжно вбивай мене!
Віддай мені муку своїми руками
Моїми губами лікуй, лікуй себе
Тримай мене міцно одною рукою
Так сильно і ніжно вбивай мене!
Віддай мені муку своїми руками
Моїми губами лікуй, лікуй себе",0.0,0.0,0.0,1.0
Khrystyna Soloviy,Ukraine,Стежечка (Path),"[Текст пісні «Стежечка»]

[Інтро]
Отсе тая стежечка, де дівчина йшла
Що з мойого сердечка щастя унесла
Ось туди пішла вона та гуляючи
З іншим своїм любчиком розмовляючи

[Куплет 1]
За її слідами я, мов безумний, біг
Цілував з сльозами я пил із її ніг
Наче потопаючий, стебелиночку
Зір мій вид її ловив на хвилиночку

[Приспів]
Тая стежечка ізвивається, а у мене серденько розриваєтьтся
Тая стежечка ізвивається, а у мене серденько розриваєтьтся

[Куплет 2]
І, мов нурок, перли ті на морському дні
Сквапно так мій слух ловив всі слова її
Отсе тая стежечка ізвивається, а у мене сердечко розриваєтьтся

[Приспів]
Тая стежечка ізвивається, а у мене серденько розриваєтьтся
Тая стежечка ізвивається, а у мене серденько розриваєтьтся

[Бридж]
Це тая стежечка
Це тая стежечка
Це тая стежечка

[Приспів]
Тая стежечка ізвивається, а у мене серденько розриваєтьтся
Тая стежечка ізвивається, а у мене серденько розриваєтьтся
А у мене серденько...",0.0,0.0,0.0,1.0
Khrystyna Soloviy,Ukraine,Fortepiano,"[Текст пісні «Fortepiano»]

[Куплет 1]
Жаль холодом, не кришталь за столом дзвенить, тремтить
Чуєш нутром, як печаль у мені мовчить
Трохи пекло, як ділили на двох усе тепло
Ніжно цілуй, не зруйнуй моє доміно

[Приспів]
І від твого форте було мені п'яно
Я гарячим воском для тебе стала
Та любов, як пісня, завтра буде пізно
Холодно чи тепло, ми з тобою різні

[Куплет 2]
Від твоїх слів виростають на вікні крижані квіти
Як би мені та самій не зледеніти
Що з тобою зимно — мені вже все одно
Тільки не ламай, не зруйнуй моє доміно

[Приспів]
І від твого форте було мені п'яно
Я гарячим воском для тебе стала
Та любов, як пісня, завтра буде пізно
Холодно чи тепло, ми з тобою різні

[Програш]

[Приспів]
І від твого форте було мені п'яно
Я гарячим воском для тебе стала
Та любов, як пісня, завтра буде пізно
Холодно чи тепло, ми з тобою різні

[Аутро]
Холодно чи тепло, ми з тобою різні",0.0,0.0,0.0,1.0
Viktor Tsoi,Russia,Салоны,"[Припев]
Салоны, я так люблю салоны!
Раз в неделю я бываю здесь
Салоны, я так люблю салоны!
Попасть сюда - большая честь

[Куплет 1]
Здесь все таланты: поэты, музыканты
Художники разных мастей
Каждый третий - непризнанный гений
Но много и других гостей

[Куплет 2]
Здесь всё так тонко, так интеллектуально
Каждый друг с другом на ""вы""
Здесь читают стихи, в основном чужие
Но часто выдают за свои

[Куплет 3]
Сюда приходят люди, умные люди
Поспорить об умных вещах -
О Фрейде, о Феллини, о Дали и о фри-джазе
Кстати, кто такой Тузенбах?

[Куплет 4]
Здесь бывают дамы, прекрасные дамы
Они знают всё обо всех
Пожилие львицы, а также дебютантки
Которых еще ждет успех

[Припев]
Салоны, я так люблю салоны!
Здесь царствует вечный бонтон
И если мне повезет, то гадом буду -
Открою свой личный салон",0.0,0.0,0.0,1.0
Bulat Okudzhava,Russia,Мы за ценой не постоим (Price is nothing for us),"[Текст песни «Мы за ценой не постоим»]

[Куплет 1]
Здесь птицы не поют
Деревья не растут
И только мы плечом к плечу
Врастаем в землю тут
Горит и кружится планета
Над нашей Родиною дым
И значит, нам нужна одна победа
Одна на всех — мы за ценой не постоим
Одна на всех — мы за ценой не постоим

[Припев]
Нас ждёт огонь смертельный
И всё ж бессилен он
Сомненья прочь, уходит в ночь отдельный
Десятый наш десантный батальон
Десятый наш десантный батальон

[Куплет 2]
Лишь только бой  угас
Звучит другой приказ
И почтальон сойдёт с ума
Разыскивая нас
Взлетает красная ракета
Бьёт пулемёт неутомим
И значит нам нужна одна победа
Одна на всех — мы за ценой не постоим
Одна на всех — мы за ценой не постоим

[Припев]
Нас ждёт огонь смертельный
И всё ж бессилен он
Сомненья прочь, уходит в ночь отдельный
Десятый наш десантный батальон
Десятый наш десантный батальон

[Куплет 3]
От Курска и Орла
Война нас довела
До самых вражеских ворот
Такие, брат, дела
Когда-нибудь мы вспомним это
И не поверится самим
А нынче нам нужна одна победа
Одна на всех — мы за ценой не постоим
Одна на всех — мы за ценой не постоим

[Припев]
Нас ждёт огонь смертельный
И всё ж бессилен он
Сомненья прочь, уходит в ночь отдельный
Десятый наш десантный батальон
Десятый наш десантный батальон",0.0,0.0,0.0,1.0
Bulat Okudzhava,Russia,"Ваше благородие, госпожа удача (Your Honor, Lady Luck)","[Текст песни «Ваше благородие, госпожа удача»]

[Куплет 1]
Ваше благородие, госпожа разлука
Мне с тобою холодно — вот какая штука
Письмецо в конверте, погоди, не рви
Не везёт мне в смерти — повезёт в любви

[Куплет 2]
Ваше благородие, госпожа удача
Для кого ты добрая, а кому иначе
Девять граммов в сердце постой не зови
Не везёт мне в смерти — повезёт в любви

[Куплет 3]
Ваше благородие, госпожа чужбина
Жарко обнимала ты, да только не любила
В шёлковые сети постой, не лови...
Не везёт мне в смерти — повезёт в любви

[Куплет 4]
Ваше благородие, госпожа победа
Значит, моя песенка до конца не спета
Перестаньте, черти, клясться на крови
Не везёт мне в смерти — повезёт в любви",0.0,0.0,0.0,1.0
Bulat Okudzhava,Russia,Давайте восклицать (Let’s Exclaim),"[Текст песни «Давайте восклицать»]

[Куплет 1]
Давайте восклицать, друг другом восхищаться
Высокопарных слов не надо опасаться
Давайте говорить друг другу комплименты
Ведь это всё любви счастливые моменты

[Куплет 2]
Давайте горевать и плакать откровенно
То вместе, то поврозь, а то попеременно
Не будем придавать значения злословью
Поскольку грусть всегда соседствует с любовью

[Куплет 3]
Давайте понимать друг друга с полуслова
Чтоб, ошибившись раз, не ошибиться снова
Давайте жить, во всём друг другу потакая
Тем более, что жизнь — короткая такая…",0.0,0.0,0.0,1.0
Vladimir Vysotsky,Russia,Песня о друге (Song About Friend),"[Текст песни ""Песня о друге""]

[Куплет 1]
Если друг оказался вдруг
И не друг, и не враг, а так
Если сразу не разберёшь
Плох он или хорош
Парня в горы тяни, рискни
Не бросай одного его
Пусть он в связке одной с тобой
Там поймешь кто такой

[Куплет 2]
Если парень в горах не ах
Если сразу раскис и вниз
Шаг ступил на ледник и сник
Оступился и в крик
Значит, рядом с тобой чужой
Ты его не брани - гони
Вверх таких не берут и тут
Про таких не поют

[Куплет 3]
Если он не скулил не ныл
Пусть он хмур был и зол, но шёл
А когда ты упал со скал
Он стонал, но держал
Если шёл он с тобой, как в бой
На вершине стоял хмельной
Значит, как на себя самого
Положись на него

[Аутро]
Значит, как на себя самого
Положись на него",0.0,0.0,0.0,1.0
Vladimir Vysotsky,Russia,Поговори хоть ты со мной (Talk to Me),"[Текст песни ""Поговори хоть ты со мной""]

[Куплет 1]
Поговори хоть ты со мной, гитара
Гитара семиструнная, вся душа
Вся душа полна тобой, а ночь
А ночь такая лунная

[Припев]
Эх раз, раз, да ещё раз, да ещё много-много раз
Эх раз, раз, да ещё раз, да ещё много-много раз

[Куплет 2]
В чистом поле васильки, вам дальняя дорога
Эх, сердце стонет от тоски, а в глазах тревога

[Припев]
Эх раз, раз, да ещё раз, да ещё много-много раз
Эх раз, раз, да ещё раз, да ещё много-много раз

[Куплет 3]
На горе стоит ольха, а под горою вишня
Полюбил цыганку я, а она, она замуж вышла

[Припев]
Эх раз, да ещё раз, да ещё много-много раз
Эх раз, да ещё раз, да ещё много-много раз

[Куплет 4]
У меня жена была, она меня любила
Изменила только раз, а потом решила

[Припев]
Эх раз, да ещё раз, да ещё много-много раз
Эх раз, да ещё раз, да ещё много-много раз

[Куплет 5]
Если вас целуют раз, вы наверно вскрикните
Эх раз, да ещё раз, а потом привыкните

[Припев]
Эх раз, да ещё раз, да ещё много-много раз
Эх раз, да ещё раз, да ещё много-много раз",0.0,0.0,0.0,1.0
Vladimir Vysotsky,Russia,Кони привередливые (Fastidious Horses),"[Текст песни «Кони привередливые»]

[Куплет 1]
Вдоль обрыва по-над пропастью по самому по краю
Я коней своих нагайкою стегаю, погоняю
Что-то воздуху мне мало: ветер пью, туман глотаю
Чую с гибельным восторгом пропадаю, пропадаю

[Припев]
Чуть помедленнее кони, чуть помедленнее
Вы тугую не слушайте плеть
Но что-то кони мне попались привередливые
И дожить не успел мне допеть не успеть
Я коней напою, я куплет допою
Хоть немного еще постою на краю

[Куплет 2]
Сгину я, меня пушинкой ураган сметет с ладони
И в санях меня галопом повлекут по снегу утром
Вы на шаг неторопливый перейдите мои кони
Хоть немного но продлите путь к последнему приюту

[Припев]
Чуть помедленнее кони, чуть помедленнее
Вы тугую не слушайте плеть
Но что-то кони мне попались привередливые
И дожить не успел мне допеть не успеть
Я коней напою, я куплет допою
Хоть немного еще постою на краю

[Куплет 3]
Мы успели в гости, к Богу не бывает опозданий
Так что ж там ангелы поют такими злыми голосами
Или это колокольчик весь зашелся от рыданий
Или я кричу коням чтоб не несли так быстро сани

[Припев]
Чуть помедленнее кони, чуть помедленнее!
Умоляю вас вскачь не лететь
Но что-то кони мне попались привередливые
Коль дожить не успел, так хотя бы допеть
Я коней напою, я куплет допою
Хоть немного еще постою на краю",0.0,0.0,0.0,1.0
Zemfira,Russia,Dokazano (Доказано),"Вперегонки с проводами
Поезд летит к моей маме,
А я по своим скyчаю,
Я не понимаю, зачем?
Шар апельсин тревожит,
Он больше гореть не может,
И я поджигаю тамбyр,
Танцyю самбy --
И всем светло.

Она читает в метро Набокова,
Я сижy около, веревочки связаны...
Маме доказано самое главное.

На дне сyмасшедшей гонки,
В сердце самой воронки
Я прячy себя yглами,
Я едy к маме с тобой.
После моих историй,
Перевернyлось море,
Но кто-то придyмал сyшy,
И стало лyчше само собой.",0.0,0.0,0.0,1.0
Oxxxymiron,Russia,Город под подошвой (City Under the Sole),"[Текст песни «Город под подошвой»]

[Интро]
Эй
Йау

[Куплет 1]
Дон ли, Волга ли течёт — котомку на плечо
Боль в груди — там тайничок, открытый фомкой, не ключом
Сколько миль ещё? Перелёт короткий был не в счёт
Долгий пыльный чёс, фургон набит коробками с мерчом
Верим: подфартит, наши постели портативны
Менестрелю два пути: корпоратив или квартирник
Схемы однотипны, все теперь эмси
Ведь смену породив, мы здесь достигли смены парадигмы
Теперь рэп многопартийный; бэттлов наплодив
Я смотрю в зеркало по типу: «Сколько бед наворотил ты!»
Я б весь рэп поработил, но всё время в пути
У индустрии нервный тик, валокордин — стенокардийным
Соберите суд, но победителей не судят
Мы первые кроманьонцы — мы выбились в люди
Не пизди! Я кладу на вас, челядь, пятикратно (А)
Ведь мы выступаем сильно, будто челюсть питекантропа

[Припев]
Весь мой рэп, если коротко, про то, что
Уж который год который город под подошвой
В гору, когда прёт; потом под гору, когда тошно
Я не то что Гулливер, но всё же город под подошвой
Город под подошвой, город под подошвой
Светофоры, госпошлины, сборы и таможни
Я не знаю, вброд или на дно эта дорожка
Ты живёшь под каблуком, у меня город под подошвой

[Куплет 2]
Мимо тополей и спелого хлеба полей
Где привидение Есенина, крест, молебен, елей
Из минивэна вижу землю, вижу небо над ней
Мы всё преодолеем — если нет, то я не водолей
Наша земля топит одиночек, как щенят
Был чужой, но Охра, Porchy, Илья больше, чем семья
Бомбу ночью сочинял, что есть мочи начинял
Я так хотел принадлежать чему-то большему, чем я
Мир пустой, хоть с каждым вторым перезнакомься (Я)
Я не биоробот с позитивной лыбой комсомольца, эй
Избавь меня от ваших панацей, домашний Парацельс
Ведь для меня ебашить — самоцель
Подустал? Нам насрать! Тони Старк как стандарт
Пара стран, автострад: Краснодар, Татарстан, Москвабад
Паспорта, гам эстрад — нарасхват
Хоть по МКАДу на старт, хоть на Мадагаскар
Ты знаешь

[Припев]
Весь мой рэп, если коротко, про то, что
Уж который год который город под подошвой
В гору, когда прёт; потом под гору, когда тошно
Я не то что Гулливер, но всё же город под подошвой
Город под подошвой, город под подошвой
Светофоры, госпошлины, сборы и таможни
Я не знаю, вброд или на дно эта дорожка
Ты живёшь под каблуком, у меня город под подошвой

[Куплет 3]
Дай силёнок тут не свернуть и не сломаться
Есть маршрут, и есть на трассе населённый пункт
И там нас сегодня ждут; нытик, не будь женственным
У Руслана в деке саундтреки к путешествию
Снова ебло заспано, снова подъём засветло
Снова броник, снова дорога, мешок за спину
Всё наскоро, в поле насрано, дождь, пасмурно
Мост в Асгард — после, пусть просто везёт с транспортом
Я делаю каждый свой куплет автопортретом
Час на чек, читаем рэп, как логопед под марафетом
Трафарет на парапетах: лого на стене везде
Моё ученье — всем, как Магомета с Бафометом
Я звезда? Дайте тёплый плед и капюшон
Салфетки жопу вытирать — и всё, отметка «хорошо»
Раньше говорили: «Я бы с ним в разведку не пошёл»
Я с тобой в тур не поехал — ты провер",0.0,0.0,0.0,1.0
Oxxxymiron,Russia,«Где нас нет» (”On the Other Side”),"[Текст песни «Где нас нет»]

[Интро: Mikolt Gyuricza]
Sino hora sancta morta
Sino hora sancta morta
Sino hora sancta morta

[Припев: Oxxxymiron]
Там, где нас нет,  — горит невиданный рассвет
Где нас нет — море и рубиновый закат
Где нас нет — лес как малахитовый браслет
Где нас нет, на Лебединых островах
Где нас нет, услышь меня и вытащи из омута
Веди в мой вымышленный город, вымощенный золотом
Во сне я вижу дали иноземные
Где милосердие правит, где берега кисельные

[Куплет 1: Oxxxymiron]
Эй, йоу
«Ну-ка, слёзы вытер!
То ли дело их сын, сразу видно, что он лидер»
«Слышишь, если спросят, то ты ничего не видел»
«Ай, он весь в отца, из него ничего не выйдет»
«Кто ж её не знает-то, всему двору сосала»
«Это что такое? Руки! Я кому сказала?»
«Всё разворовали, а бывал непобедимым»
«Ваш ребёнок замкнут и не ладит с коллективом»
«Марш в детский сад!» «Дружный класс». «Дважды два»
«Раз на раз, баш на баш». «Чё, зассал? Не пацан?»
«Токо глянь на себя, тут фингал, там синяк
Хулиган! Стыдоба! Как ты смел, кем ты стал?»
«Мой-то? Да всё в облаках, как в детстве, витает»
«Ты ничем не лучше других, чудес не бывает»
«С нею? Да без шансов, он же пугалище с виду!»
«Хули ты всё умничаешь, сука, ты, чё, пидор?»
«На, сделай пару тяг — стены полетят
Чё, ништяк? По шестьдесят, бери сейчас»
«Тихий час». «Твои друзья — десять негритят»
«Все пиздят». «Скажи, где взял?» «Наперекосяк»
«Строгача!» «Как вышел, и каждое лето квасит»
«Сожалеем, но у нас всё так же нет вакансий»
«Как ты был неблагодарный, так жизнь сломал мне»
«На могильном камне пусть выбьют как-нибудь пошикарней»

[Припев: Oxxxymiron]
Где нас нет — горит невиданный рассвет
Где нас нет — море и рубиновый закат
Где нас нет — лес как малахитовый браслет
Где нас нет, на Лебединых островах
Где нас нет, услышь меня и вытащи из омута
Пусти в мой вымышленный город, вымощенный золотом
Во тьме я вижу дали иноземные
Где милосердие правит, где берега кисельные

[Куплет 2: Oxxxymiron]
Эй, йоу
«Ты ж моя принцесса!»
«Ваша цель: выжать всё из её учебного процесса
Мы в Женеву на месяц, не жалейте их, профессор»
«Младшая будет красавица, а эта так, в довесок»
«Сядьте прямо! Тут обеденный стол, юная леди!»
«Что за ветер в голове, что за тон и манеры эти?»
«Мне тут напели, кто-то в кресло вице-мэра метит?»
«Постеснялся бы, хотя б, своим блядям звонить при детях!»
«Завтра важный этап: частный пансионат
Её нрав исправит, как высококлассный остеопат
Раз так страсти кипят, её враз тут остепенят!»
«Почему про отца твердят, что он властный социопат?»
«Гляньте-ка, вон та самая новенькая, любуйтесь»
«Погоди, дитя, после школы пока побудь здесь»
«Пастор поцеловал? Лазал под сарафан?»
«Не сопротивляйся, дитя, все дела во славу Творца!»
«Сам не тиран и деспот, но надо знать своё место
А ты непутёвая недотёпа с самого детства
Я даю на роскошь, новшества — тебе недаром!
Эта тварь из отбросов общества тебе не пара!»
«Съешь их, добавишь к серой рутине цветов, оттенков»
«Эксклюзивный реабилитационный центр»
«Как с настроением у нас?» «К выздоровлен",0.0,0.0,0.0,1.0
Oxxxymiron,Russia,THE STORY OF ALISHER,"[Текст песни «THE STORY OF ALISHER»]

[Часть I]

[Интро: Oxxxymiron]
Клоун так ищет любви
И хоть немного тепла
Клоун боится любви
Носит колпак, но он в шипах
Клоун так хочет дружить
Только с ним что-то не так
Клоун горько язвит
Больно в груди, снова отказ

[Куплет 1: Oxxxymiron]
Меня диссанул клоун (Меня диссанул клоун)
Может, мимо пройти? (Меня диссанул клоун)
Меня диссанул клоун (Клоун, клоун, клоун)
Что мне делать с ним? (Хули мне с ним делать, ёпта?)
Я бы шута игнорировал прост
Но этот вот клоун чё-то слишком серьёзный
Хочет быть круче, паяц приставучий
Злобная надоедливая колючка

[Бридж: Oxxxymiron]
Безобразный год ковыляет в закат по колено в крови
Моё дело — вас развлекать пустяками во время войны
А что пустяковее хрупкого эго артиста?
Не довести бы шута до самоубийства
Нет человека ранимей постирониста

[Часть II]

[Скит: MORGENSHTERN]
Не хочу никому давать копаться в своей голове
Не хочу, сука
Боюсь, что раскопают чё-то там

[Куплет 2: Oxxxymiron]
Эйо, внучок, understand
Твой дисс — это любовное письмо
Морген-Стэн
Чисто мэшапы
Золотые цитаты
Аля, ты сочиняешь всё
Я не дёргал тебя за косички, ты мне не нравишься
Зашквар
Ты так хочешь назад, но нахуй им
Ещё один дредастый колхозан?
У них есть SHAMAN
«Залупа, пенис, хер» — это хиток, спору нет
Но где ты был восемь лет?
Пародируй
Но изобразить меня харизмы не хватило
Ты сатира на Сатира
Больше не читай, please
Блять, конечно, тебе больно от моих битов
Тебя ебут на Oxxxymiron type beats
Объясни своим ебучим детям
Как звал меня на «Легендарную пыль»
На «Million Dollar», на «12», на «Last One»
И всякий раз после отказа хейтил
Ведь тебе нужен Марк, чтоб получился маркетинг
Я новый Pusha T, к чёрту six-six-six
Перебей лоб на XXX
Меняй фамилию и паспорт
Моргенштерн раскрутился на цепи
Жаль, утренние звёзды быстро гаснут

[Куплет 3: Oxxxymiron]
Давай поговорим об индивидуальности
Бас — Тейпа, флоу — Скрипа, чё, это — стиль?
Ранний FACE в квадрате — весь квадратный фейс
Тебе сказали: «Будь собой!»
И ты такой: «Окей, где референс?»
Из-за
Того, что у тебя шиза
Если кумир не принимает — это повод для дисса
Ты так заебал — в Испанию твоя мама сбежала, окей
И папа тоже: твой папа — kizaru
Чарты — всё, назад в ИзиРеп
Ты жалкий zip-архив: скопировать тебя
Значит скопировать всех (Эх)
Оригинальный эмси
Настолько редкий голос
Люди верят, что на войсе в «Грязи» был ты
Алю за широкие штаны гнобили старшаки
Уважение старших заслужить стало идеей фикс
Ну и как? Всё вышло хорошо?
Федук не фитанёт с тобою
Даже если он станет бомжом
Тимати, АК-47, — ёпта, респектово!
Всё, что наркоману перепало, — лишь кока и сода
Это приходит время жатвы
Тебе бы к взрослым, но ты нерукопожатный

[Куплет 4: Oxxxymiron]
Давай поговорим о твоём одиночестве
Никого кругом, листья падают в бассейн
Сотни телефонных номеров, да всё не те
Другом быть легко, никто не подавал пример
У тебя свита
Крипто, клепто
Инфоцыгане
Дым — в лёгкие
Все, кто был те близок, далеко
И аккуратно: твои новые близкие — недалёкие

[Куплет 5: Oxxxymiron]
Светлая",0.5919,0.008,0.0,0.992
Noize MC,Russia,Вселенная бесконечна? (Is the Universe Infinite?),"[Текст песни «Вселенная бесконечна?»]

[Интро: Dolores O'Riordan]
Empty
Empty
Empty
Empty
Empty

[Куплет 1: Noize MC]
Если Вселенная бесконечна действительно
Значит, есть куча копий нашей планеты:
Где-то щас происходят те же события
Копия меня пишет копию песни этой
Если Вселенная бесконечна и вправду
То прямо следует из этого факта
Что ты точно так же ждёшь, когда я вернусь обратно
Где-то там, в глуби далёких галактик
То есть, не ты, конечно, а твоя копия
И не меня, а мою копию, конечно
Если, конечно, всё это — не утопия
И Вселенная действительно бесконечна

[Инструментальный припев: Dolores O'Riordan & Noize MC]
Empty (Действительно бесконечна)
Empty
Empty

[Куплет 2: Noize MC]
Если обдумать подробнее эту гипотезу
Посерьёзней впариться в ситуацию
То помимо миров, повторённых полностью
Есть и такие, что могут чем-то отличаться
Получается, что где-то на задворках созвездий
Есть такие версии нашего мира
Где мы с тобой либо уже не вместе
Либо изначально прошли друг друга мимо
И мы там, может быть, даже счастливы
То есть, опять же, не мы, а они, к счастью
Эти варианты могут быть самыми разными
Но о них не хочу даже думать щас я

[Припев: Noize MC & Dolores O'Riordan]
Бог — одинокий ребёнок, брошенный всеми
В пустом магазине игрушек (Empty)
Бродя среди полок, убивающий время
Понимая, что взрослым не нужен (Empty)
Он собрал уже тыщи конструкторов разных
Он распечатал всех кукол (Empty)
Но он всё ещё ищет детали для пазлов
Он всё ещё ходит по кругу (Empty)
(Empty-y)

[Куплет 3: Noize MC]
А есть, наверно, и поудачней расклады
Без лишней жести, которая нам досталась:
Там всё случилось не вопреки всему, а как надо
Так, как тут никогда не случалось
Мы попадём туда после смерти, может быть
Если будем добрыми и хорошими
Если играть в то, что нами с тобою прожито
Не наскучит малышу, в магазине брошенному
Но я надеюсь, это позже случится гораздо
Я туда совершенно не тороплюсь
Как бы круто там ни было, мне одно ясно:
Ещё сильней я в тебя всё равно не влюблюсь

[Припев: Noize MC & Dolores O'Riordan]
Бог — одинокий ребёнок, брошенный всеми
В пустом магазине игрушек (Empty)
Бродя среди полок, убивающий время
Понимая, что взрослым не нужен (Empty)
Он собрал уже тыщи конструкторов разных
Он распечатал всех кукол (Empty)
Но он всё ещё ищет детали для пазлов
Он всё ещё ходит по кругу (Empty)
Бог — одинокий ребёнок, брошенный всеми
В пустом магазине игрушек (Empty)
Бродя среди полок, убивающий время
Понимая, что взрослым не нужен (Empty)
Он собрал уже тыщи конструкторов разных
Он распечатал всех кукол (Empty)
Но он всё ещё ищет детали для пазлов
Он всё ещё ходит по кругу (Empty)

[Аутро: Dolores O'Riordan]
Empty
Empty
Empty…",-0.9766,0.0,0.087,0.913
