wikidata_id,name,origin_country,month,views
Q3553746,Valery Sigalevitch,Ukraine,2023-09,105
Q3553746,Valery Sigalevitch,Ukraine,2023-10,101
Q3553746,Valery Sigalevitch,Ukraine,2023-11,102
Q3553746,Valery Sigalevitch,Ukraine,2023-12,108
Q7314,Igor Stravinsky,Russia,2021-01,43853
Q7314,Igor Stravinsky,Russia,2021-02,40780
Q7314,Igor Stravinsky,Russia,2021-03,50656
Q7314,Igor Stravinsky,Russia,2021-04,66247
Q7314,Igor Stravinsky,Russia,2021-05,45370
Q7314,Igor Stravinsky,Russia,2021-06,34156
Q7314,Igor Stravinsky,Russia,2021-07,29841
Q7314,Igor Stravinsky,Russia,2021-08,38791
Q7314,Igor Stravinsky,Russia,2021-09,40764
Q7314,Igor Stravinsky,Russia,2021-10,42745
Q7314,Igor Stravinsky,Russia,2021-11,39464
Q7314,Igor Stravinsky,Russia,2021-12,35747
Q7314,Igor Stravinsky,Russia,2022-01,37586
Q7314,Igor Stravinsky,Russia,2022-02,36974
Q7314,Igor Stravinsky,Russia,2022-03,45267
Q7314,Igor Stravinsky,Russia,2022-04,42707
Q7314,Igor Stravinsky,Russia,2022-05,45329
Q7314,Igor Stravinsky,Russia,2022-06,36052
Q7314,Igor Stravinsky,Russia,2022-07,29656
Q7314,Igor Stravinsky,Russia,2022-08,37284
Q7314,Igor Stravinsky,Russia,2022-09,50633
Q7314,Igor Stravinsky,Russia,2022-10,44896
Q7314,Igor Stravinsky,Russia,2022-11,41805
Q7314,Igor Stravinsky,Russia,2022-12,34815
Q7314,Igor Stravinsky,Russia,2023-01,38569
Q7314,Igor Stravinsky,Russia,2023-02,37067
Q7314,Igor Stravinsky,Russia,2023-03,51426
Q7314,Igor Stravinsky,Russia,2023-04,42141
Q7314,Igor Stravinsky,Russia,2023-05,40205
Q7314,Igor Stravinsky,Russia,2023-06,38052
Q7314,Igor Stravinsky,Russia,2023-07,38332
Q7314,Igor Stravinsky,Russia,2023-08,63230
Q7314,Igor Stravinsky,Russia,2023-09,66339
Q7314,Igor Stravinsky,Russia,2023-10,46192
Q7314,Igor Stravinsky,Russia,2023-11,40210
Q7314,Igor Stravinsky,Russia,2023-12,43793
Q4761,Ernst Mielck,Russia,2021-01,223
Q4761,Ernst Mielck,Russia,2021-02,173
Q4761,Ernst Mielck,Russia,2021-03,185
Q4761,Ernst Mielck,Russia,2021-04,221
Q4761,Ernst Mielck,Russia,2021-05,257
Q4761,Ernst Mielck,Russia,2021-06,127
Q4761,Ernst Mielck,Russia,2021-07,166
Q4761,Ernst Mielck,Russia,2021-08,165
Q4761,Ernst Mielck,Russia,2021-09,238
Q4761,Ernst Mielck,Russia,2021-10,156
Q4761,Ernst Mielck,Russia,2021-11,213
Q4761,Ernst Mielck,Russia,2021-12,158
Q4761,Ernst Mielck,Russia,2022-01,207
Q4761,Ernst Mielck,Russia,2022-02,170
Q4761,Ernst Mielck,Russia,2022-03,337
Q4761,Ernst Mielck,Russia,2022-04,240
Q4761,Ernst Mielck,Russia,2022-05,200
Q4761,Ernst Mielck,Russia,2022-06,199
Q4761,Ernst Mielck,Russia,2022-07,214
Q4761,Ernst Mielck,Russia,2022-08,191
Q4761,Ernst Mielck,Russia,2022-09,199
Q4761,Ernst Mielck,Russia,2022-10,185
Q4761,Ernst Mielck,Russia,2022-11,163
Q4761,Ernst Mielck,Russia,2022-12,731
Q4761,Ernst Mielck,Russia,2023-01,186
Q4761,Ernst Mielck,Russia,2023-02,172
Q4761,Ernst Mielck,Russia,2023-03,162
Q4761,Ernst Mielck,Russia,2023-04,163
Q4761,Ernst Mielck,Russia,2023-05,201
Q4761,Ernst Mielck,Russia,2023-06,150
Q4761,Ernst Mielck,Russia,2023-07,151
Q4761,Ernst Mielck,Russia,2023-08,186
Q4761,Ernst Mielck,Russia,2023-09,144
Q4761,Ernst Mielck,Russia,2023-10,171
Q4761,Ernst Mielck,Russia,2023-11,178
Q4761,Ernst Mielck,Russia,2023-12,193
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-01,93071
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-02,83266
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-03,95917
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-04,85315
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-05,87405
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-06,64688
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-07,67864
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-08,69797
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-09,68015
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-10,76736
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-11,86657
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2021-12,108336
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-01,85658
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-02,94138
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-03,136886
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-04,93767
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-05,119133
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-06,64981
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-07,62670
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-08,70220
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-09,73239
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-10,80578
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-11,95263
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2022-12,132297
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-01,93271
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-02,111507
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-03,112290
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-04,88456
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-05,91946
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-06,74573
Q7315,Pyotr Ilyich Tchaikovsky,Russia,2023-07,74397
