name,wikidata_id,origin_country,birth_place,current_residence,wiki_url
Mélovin,Q25442068,Ukraine,Odesa,Ukraine,https://en.wikipedia.org/wiki/M%C3%A9lovin
Diana Hacıyeva,Q16366466,Ukraine,Mariupol,Azerbaijan,https://en.wikipedia.org/wiki/Diana_Hajiyeva
Heinrich Neuhaus,Q506613,Ukraine,Kropyvnytskyi,Russian Empire,https://en.wikipedia.org/wiki/Heinrich_Neuhaus
Olena Topolia,Q209987,Ukraine,Zaporizhzhia,Soviet Union,https://en.wikipedia.org/wiki/Olena_Topolia
Mikołaj Rej,Q458235,Ukraine,Zhuravno,Kingdom of Poland,https://en.wikipedia.org/wiki/Miko%C5%82aj_Rej
Solomea Krushelnytska,Q267058,Ukraine,Biliavyntsi,Austria–Hungary,https://en.wikipedia.org/wiki/Solomiya_Krushelnytska
Vasyl Slipak,Q25050824,Ukraine,Lviv,Ukraine,https://en.wikipedia.org/wiki/Vasyl_Slipak
Mark Bernes,Q537854,Ukraine,Nizhyn,Russian Empire,https://en.wikipedia.org/wiki/Mark_Bernes
Anna Sedokova,Q2350283,Ukraine,Kyiv,Ukraine,https://en.wikipedia.org/wiki/Anna_Sedokova
Yaroslav Yevdokimov,Q4172926,Ukraine,Rivne,Belarus,https://en.wikipedia.org/wiki/Yaroslav_Yevdokimov
Leonid Kogan,Q379616,Ukraine,Dnipro,Soviet Union,https://en.wikipedia.org/wiki/Leonid_Kogan
Myroslav Skoryk,Q278813,Ukraine,Lviv,Soviet Union,https://en.wikipedia.org/wiki/Myroslav_Skoryk
Maruv,Q56310176,Ukraine,Pavlohrad,Ukraine,https://en.wikipedia.org/wiki/Maruv
Gregor Piatigorsky,Q364868,Ukraine,Dnipro,Russian Empire,https://en.wikipedia.org/wiki/Gregor_Piatigorsky
Maksym Berezovsky,Q1353816,Ukraine,Hlukhiv,Russian Empire,https://en.wikipedia.org/wiki/Maxim_Berezovsky
Regina Todorenko,Q19694388,Ukraine,Odesa,Ukraine,https://en.wikipedia.org/wiki/Regina_Todorenko
